control,tf,tipo,direccion,confirmation_time_utc,bar_index_local,nivel,zone_high,source_close,detector_object_id,occurrence_id
B,M1,FVG,-1,2026-08-24T12:36:00+00:00,11040,1.16618,1.1662,,FVG_M1_11040_BEAR,M1|FVG|2026-08-24T12:36:00+00:00|-1
B,M1,FVG,1,2026-08-24T12:40:00+00:00,11044,1.16616,1.1662,,FVG_M1_11044_BULL,M1|FVG|2026-08-24T12:40:00+00:00|1
B,M1,FVG,1,2026-08-24T12:45:00+00:00,11049,1.16621,1.16622,,FVG_M1_11049_BULL,M1|FVG|2026-08-24T12:45:00+00:00|1
B,M1,FVG,1,2026-08-24T12:46:00+00:00,11050,1.16623,1.16625,,FVG_M1_11050_BULL,M1|FVG|2026-08-24T12:46:00+00:00|1
B,M1,FVG,-1,2026-08-24T12:58:00+00:00,11062,1.16643,1.16647,,FVG_M1_11062_BEAR,M1|FVG|2026-08-24T12:58:00+00:00|-1
B,M1,FVG,-1,2026-08-24T12:59:00+00:00,11063,1.16638,1.1664,,FVG_M1_11063_BEAR,M1|FVG|2026-08-24T12:59:00+00:00|-1
B,M1,FVG,1,2026-08-24T13:01:00+00:00,11065,1.16638,1.16639,,FVG_M1_11065_BULL,M1|FVG|2026-08-24T13:01:00+00:00|1
B,M1,FVG,1,2026-08-24T13:02:00+00:00,11066,1.16645,1.16646,,FVG_M1_11066_BULL,M1|FVG|2026-08-24T13:02:00+00:00|1
B,M1,FVG,1,2026-08-24T13:11:00+00:00,11075,1.16648,1.16651,,FVG_M1_11075_BULL,M1|FVG|2026-08-24T13:11:00+00:00|1
B,M1,FVG,-1,2026-08-24T13:17:00+00:00,11081,1.16653,1.16654,,FVG_M1_11081_BEAR,M1|FVG|2026-08-24T13:17:00+00:00|-1
B,M1,FVG,1,2026-08-24T13:20:00+00:00,11084,1.16652,1.16659,,FVG_M1_11084_BULL,M1|FVG|2026-08-24T13:20:00+00:00|1
B,M1,FVG,-1,2026-08-24T13:32:00+00:00,11096,1.16655,1.16656,,FVG_M1_11096_BEAR,M1|FVG|2026-08-24T13:32:00+00:00|-1
B,M1,FVG,-1,2026-08-24T13:42:00+00:00,11106,1.16641,1.16642,,FVG_M1_11106_BEAR,M1|FVG|2026-08-24T13:42:00+00:00|-1
B,M1,FVG,-1,2026-08-24T13:43:00+00:00,11107,1.16635,1.1664,,FVG_M1_11107_BEAR,M1|FVG|2026-08-24T13:43:00+00:00|-1
B,M1,FVG,-1,2026-08-24T13:48:00+00:00,11112,1.16628,1.16631,,FVG_M1_11112_BEAR,M1|FVG|2026-08-24T13:48:00+00:00|-1
